bin_lo,bin_hi,predicted_avg,observed_avg,n
0.0,0.1,0.056593826357595495,0.2222222222222222,36
0.1,0.2,0.15348600154984704,0.375,80
0.2,0.30000000000000004,0.25625799256174264,0.3490566037735849,106
0.30000000000000004,0.4,0.34874722211773024,0.4326241134751773,141
0.4,0.5,0.4535376343563427,0.5177304964539007,141
0.5,0.6000000000000001,0.5464623677315097,0.48226950354609927,141
0.6000000000000001,0.7000000000000001,0.651252779830003,0.5673758865248227,141
0.7000000000000001,0.8,0.7437420078926713,0.6509433962264151,106
0.8,0.9,0.8465139992168711,0.625,80
0.9,1.0,0.9434061737519477,0.7777777777777778,36
